file,CH1_BPFI_energy,CH1_BPFO_energy,CH1_BSF_energy,CH1_CRS_energy,CH2_BPFI_energy,CH2_BPFO_energy,CH2_BSF_energy,CH2_CRS_energy,CH3_BPFI_energy,CH3_BPFO_energy,CH3_BSF_energy,CH3_CRS_energy,CH4_BPFI_energy,CH4_BPFO_energy,CH4_BSF_energy,CH4_CRS_energy
modified_KIMM Simulator_KIMM Bearing Test_20160325122639.tdms,2.2900393841192398e+85,5.178097193954342e+85,7.349089524420558e+85,3.674473646046362e+86,7.252511956851001e+83,1.6398569210666118e+84,2.3272797320440187e+84,1.1536567412976886e+85,2.911343381548345e+83,6.58265648571648e+83,9.342139332244431e+83,4.643701981886294e+84,6.190791822019139e+83,1.3999157510272841e+84,1.987021850884806e+84,9.969564777703401e+84
modified_KIMM Simulator_KIMM Bearing Test_20160325123839.tdms,1.7256845777983023e+82,3.9018438933313855e+82,5.537694457327901e+82,2.778544579338103e+83,3.9457764781176486e+85,8.922732883445438e+85,1.2663784386860423e+86,6.320114574167058e+86,3.330672934183934e+84,7.531772909984476e+84,1.0690071081912093e+85,5.355370719949711e+85,1.540141828106489e+83,3.4822150360517797e+83,4.942341995299028e+83,2.4462566296213727e+84
modified_KIMM Simulator_KIMM Bearing Test_20160325124839.tdms,2.261831267652959e+84,5.115159045229621e+84,7.260771194239769e+84,3.6119145165427004e+85,4.024617102335601e+85,9.102378803178133e+85,1.2921137636257527e+86,6.440247229119176e+86,2.694599507340383e+84,6.092629771978222e+84,8.646337509168739e+84,4.2894454495973816e+85,4.0805471045869834e+85,9.227491525760181e+85,1.3096871184421304e+86,6.490648311521959e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325125839.tdms,5.261984436431914e+84,1.1898299176850815e+85,1.688697517694036e+85,8.419118317542628e+85,9.189968306025522e+83,2.0779203376743008e+84,2.948987045493155e+84,1.4623897166264534e+85,7.255607597076249e+86,1.6407217539720565e+87,2.32834787633904e+87,1.16427560838339e+88,5.224790602176651e+84,1.181500813514756e+85,1.676945668020054e+85,8.413974903410547e+85
modified_KIMM Simulator_KIMM Bearing Test_20160325130839.tdms,8.926037405158178e+83,2.0187658909993078e+84,2.865677872125946e+84,1.4338579169823693e+85,4.193215471980337e+84,9.481414338027355e+84,1.3456602407105232e+85,6.704778451488877e+85,8.423700108111539e+85,1.9051250178948134e+86,2.704282238777149e+86,1.3592368424835225e+87,1.4978162028129018e+84,3.3875596526195737e+84,4.808627318320798e+84,2.3916033276809372e+85
modified_KIMM Simulator_KIMM Bearing Test_20160325131839.tdms,2.2045157065161323e+85,4.985181952296605e+85,7.075128972056765e+85,3.5225342051931003e+86,1.8201925573683216e+85,4.115912141139753e+85,5.8416197038357724e+85,2.881053537619632e+86,2.7685702231399497e+86,6.260623333151697e+86,8.884680056193457e+86,4.420135763522719e+87,1.5110375129031373e+85,3.416097006897423e+85,4.847979396557212e+85,2.412785563568194e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325132839.tdms,9.7282245955469e+83,2.1995211350479886e+84,3.1214458477433318e+84,1.5404197555733989e+85,6.451896366014036e+83,1.4589688084682648e+84,2.0706551279858315e+84,1.0404364572492432e+85,1.4790811217681418e+84,3.344454229055397e+84,4.74657474071548e+84,2.3624894558344132e+85,3.0381923083569273e+85,6.869505987998907e+85,9.749056446617409e+85,4.829695881164273e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325133839.tdms,8.938563370471724e+83,2.0212211574702706e+84,2.868654308850405e+84,1.4215852363989332e+85,2.996632981020044e+84,6.776436852975662e+84,9.617060571880451e+84,4.7743817007635174e+85,5.5392417871767625e+84,1.2525493899727344e+85,1.777739595013355e+85,8.807185270202991e+85,7.421319564899975e+84,1.6780169545483623e+85,2.3814431068392235e+85,1.1827205028512257e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325134839.tdms,3.6598038673731326e+85,8.273774101859263e+85,1.174347442980703e+86,5.843232842458459e+86,7.203050085077651e+83,1.6285990965871062e+84,2.3114766979382678e+84,1.1394508350690903e+85,1.2157606094198854e+85,2.7488797554474693e+85,3.9008721958331266e+85,1.9292382486326966e+86,4.774199788434565e+85,1.0795104069321243e+86,1.5321629235405472e+86,7.611946901008679e+86
modified_KIMM Simulator_KIMM Bearing Test_20160325135839.tdms,1.5008738522483935e+85,3.393422539936621e+85,4.8153541738620054e+85,2.3919098376544662e+86,1.4341754516648482e+84,3.242810508309994e+84,4.602238436187901e+84,2.2920115276156067e+85,1.4955523998330883e+86,3.381631822559544e+86,4.800072661760935e+86,2.3694573552929907e+87,1.4028030279461807e+84,3.1718016558175515e+84,4.50168161639384e+84,2.2476724524318415e+85
