Train,File,측정 시작 시각,고장 시각,RUL_sec
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325122639.tdms,2016-03-25 12:26:39,2016-03-26 03:58:39,55920.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325123839.tdms,2016-03-25 12:38:39,2016-03-26 03:58:39,55200.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325124839.tdms,2016-03-25 12:48:39,2016-03-26 03:58:39,54600.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325125839.tdms,2016-03-25 12:58:39,2016-03-26 03:58:39,54000.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325130839.tdms,2016-03-25 13:08:39,2016-03-26 03:58:39,53400.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325131839.tdms,2016-03-25 13:18:39,2016-03-26 03:58:39,52800.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325132839.tdms,2016-03-25 13:28:39,2016-03-26 03:58:39,52200.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325133839.tdms,2016-03-25 13:38:39,2016-03-26 03:58:39,51600.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325134839.tdms,2016-03-25 13:48:39,2016-03-26 03:58:39,51000.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325135839.tdms,2016-03-25 13:58:39,2016-03-26 03:58:39,50400.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325140839.tdms,2016-03-25 14:08:39,2016-03-26 03:58:39,49800.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325141839.tdms,2016-03-25 14:18:39,2016-03-26 03:58:39,49200.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325142839.tdms,2016-03-25 14:28:39,2016-03-26 03:58:39,48600.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325143839.tdms,2016-03-25 14:38:39,2016-03-26 03:58:39,48000.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325144839.tdms,2016-03-25 14:48:39,2016-03-26 03:58:39,47400.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325145839.tdms,2016-03-25 14:58:39,2016-03-26 03:58:39,46800.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325150839.tdms,2016-03-25 15:08:39,2016-03-26 03:58:39,46200.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325151839.tdms,2016-03-25 15:18:39,2016-03-26 03:58:39,45600.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325152839.tdms,2016-03-25 15:28:39,2016-03-26 03:58:39,45000.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325153839.tdms,2016-03-25 15:38:39,2016-03-26 03:58:39,44400.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325154839.tdms,2016-03-25 15:48:39,2016-03-26 03:58:39,43800.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325155839.tdms,2016-03-25 15:58:39,2016-03-26 03:58:39,43200.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325160839.tdms,2016-03-25 16:08:39,2016-03-26 03:58:39,42600.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325161839.tdms,2016-03-25 16:18:39,2016-03-26 03:58:39,42000.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325162839.tdms,2016-03-25 16:28:39,2016-03-26 03:58:39,41400.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325163839.tdms,2016-03-25 16:38:39,2016-03-26 03:58:39,40800.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325164839.tdms,2016-03-25 16:48:39,2016-03-26 03:58:39,40200.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325165839.tdms,2016-03-25 16:58:39,2016-03-26 03:58:39,39600.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325170839.tdms,2016-03-25 17:08:39,2016-03-26 03:58:39,39000.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325171839.tdms,2016-03-25 17:18:39,2016-03-26 03:58:39,38400.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325172839.tdms,2016-03-25 17:28:39,2016-03-26 03:58:39,37800.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325173839.tdms,2016-03-25 17:38:39,2016-03-26 03:58:39,37200.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325174839.tdms,2016-03-25 17:48:39,2016-03-26 03:58:39,36600.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325175839.tdms,2016-03-25 17:58:39,2016-03-26 03:58:39,36000.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325180839.tdms,2016-03-25 18:08:39,2016-03-26 03:58:39,35400.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325181839.tdms,2016-03-25 18:18:39,2016-03-26 03:58:39,34800.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325182839.tdms,2016-03-25 18:28:39,2016-03-26 03:58:39,34200.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325183839.tdms,2016-03-25 18:38:39,2016-03-26 03:58:39,33600.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325184839.tdms,2016-03-25 18:48:39,2016-03-26 03:58:39,33000.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325185839.tdms,2016-03-25 18:58:39,2016-03-26 03:58:39,32400.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325190839.tdms,2016-03-25 19:08:39,2016-03-26 03:58:39,31800.0
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325191839.tdms,2016-03-25 19:18:39,2016-03-26 03:58:39,31200.0
