PRODUCT_ID,Y_Class
TEST_000,1
TEST_004,2
TEST_006,1
TEST_008,2
TEST_009,1
TEST_010,1
TEST_012,1
TEST_015,2
TEST_017,1
TEST_028,1
TEST_031,1
TEST_032,1
TEST_035,2
TEST_039,0
TEST_044,1
TEST_046,1
TEST_053,2
TEST_054,2
TEST_060,1
TEST_061,1
TEST_062,1
TEST_064,1
TEST_066,1
TEST_067,1
TEST_069,1
TEST_075,1
TEST_076,1
TEST_078,0
TEST_081,1
TEST_083,2
TEST_090,2
TEST_098,1
TEST_101,1
TEST_104,2
TEST_105,1
TEST_107,1
TEST_116,0
TEST_117,0
TEST_120,1
TEST_125,2
TEST_126,1
TEST_127,2
TEST_129,1
TEST_130,1
TEST_139,0
TEST_140,1
TEST_142,1
TEST_149,0
TEST_150,1
TEST_153,1
TEST_161,1
TEST_164,1
TEST_177,1
TEST_180,0
TEST_184,1
TEST_185,1
TEST_186,0
TEST_188,1
TEST_194,1
TEST_198,1
TEST_199,1
TEST_201,1
TEST_207,2
TEST_209,1
TEST_211,1
TEST_212,1
TEST_215,1
TEST_216,1
TEST_220,1
TEST_225,1
TEST_226,2
TEST_229,0
TEST_235,1
TEST_237,1
TEST_240,2
TEST_244,1
TEST_245,2
TEST_254,1
TEST_256,1
TEST_257,1
TEST_258,2
TEST_262,1
TEST_264,1
TEST_265,1
TEST_266,1
TEST_272,2
TEST_278,1
TEST_281,1
TEST_283,1
TEST_285,1
TEST_295,1
TEST_297,1
TEST_299,1
TEST_302,1
TEST_308,2
TEST_309,1
TEST_311,1
TEST_314,1
TEST_315,2
TEST_324,0
TEST_327,1
TEST_335,1
TEST_342,0
TEST_343,1
TEST_345,1
TEST_348,1
TEST_352,1
TEST_353,2
TEST_355,1
TEST_356,2
TEST_358,1
TEST_360,2
TEST_361,1
TEST_362,0
TEST_367,0
TEST_368,1
TEST_375,1
TEST_376,2
TEST_382,2
TEST_383,1
TEST_386,1
TEST_388,1
TEST_397,1
TEST_399,1
TEST_401,0
TEST_402,0
TEST_405,1
TEST_410,1
TEST_413,1
TEST_416,1
TEST_420,1
TEST_425,0
TEST_426,1
TEST_432,0
TEST_443,2
TEST_444,1
TEST_447,1
TEST_452,1
TEST_458,0
TEST_459,0
TEST_462,0
TEST_466,2
TEST_468,1
TEST_476,0
TEST_481,1
TEST_486,1
TEST_489,1
TEST_492,1
TEST_493,2
TEST_497,2
TEST_507,0
TEST_509,0
TEST_511,1
TEST_515,2
TEST_517,2
TEST_529,1
TEST_530,1
TEST_532,1
TEST_533,1
TEST_534,1
